filename,Eye Contact,Gesticulation,Enthusiasm,Intentional Pauses,"Vocalized pauses (uh, ah, um, etc.)",Rating,Structure,Completeness,Creativity,Audience involvement
9Merged.csv,4,4,4,3,3,3.6,4,4,4,4
11Merged.csv,3,3,3,3,3,3,4,4,4,4
1Merged.csv,2,3,5,3,2,3,4,5,4,2
5Merged.csv,2,2,3,3,3,2.6,4,3,3,4
17Merged.csv,2,4,4,3,3,3.2,3,4,2,3
30Merged.csv,3,4,5,4,4,4,4,4,4,5
12Merged.csv,3,4,3,3,2,3,4,5,4,2
28Merged.csv,2,3,3,3,2,2.6,4,4,4,5
14Merged.csv,4,3,3,3,3,3.2,4,4,4,4
21Merged.csv,2,4,4,3,4,3.4,3,3,2,3
6Merged.csv,3,3,3,2,3,2.8,2,3,4,4
19Merged.csv,2,3,4,3,2,2.8,2,3,4,3
13Merged.csv,2,2,3,2,4,2.6,2,3,4,4
23Merged.csv,2,3,2,3,4,2.8,4,3,3,4
16Merged.csv,3,3,4,3,4,3.4,2,3,3,4
15Merged.csv,2,3,3,3,2,2.6,3,4,2,3
29Merged.csv,2,3,4,4,3,3.2,4,4,4,5
27Merged.csv,2,3,2,3,3,2.6,2,3,3,3
26Merged.csv,2,4,3,4,4,3.4,3,4,2,3
3Merged.csv,3,3,4,4,4,3.6,4,3,3,4
22Merged.csv,3,3,3,3,3,3,3,3,2,3
25Merged.csv,4,4,4,3,4,3.8,3,3,2,3
20Merged.csv,4,4,4,4,4,4,4,5,4,2
4Merged.csv,4,3,3,3,4,3.4,2,3,3,3
24Merged.csv,2,2,2,3,3,2.4,2,3,4,3
10Merged.csv,2,3,3,3,3,2.8,2,3,3,3
7Merged.csv,3,2,4,3,4,3.2,2,3,4,3
